category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
Boxed,BlockedJacobi,24,24,,1,9,0,1,0,0,3741.8748000447622,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,BlockedJacobi,48,48,,1,9,0,1,0,0,16549.145292496509,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,BoxedSemiSmoothNewton,12,12,,1,24,0,0,1,0,1251.7999968636263,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,BoxedSemiSmoothNewton,24,24,,1,24,0,0,1,0,3327.5644722982579,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,BoxedSemiSmoothNewton,48,48,,1,24,0,0,1,0,14142.304443368297,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,Dantzig,12,12,,1,1,1,0,0,0,1245.4780657072652,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,Dantzig,24,24,,1,1,1,0,0,0,3205.3526018571456,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,Dantzig,48,48,,1,1,1,0,0,0,12627.510788760981,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,Jacobi,12,12,,1,7,0,1,0,0,1336.6324741636852,1,5,0.0011865216874502593,0.0011865216874502593,0,1,1,1,1,0,1,0,0
Boxed,Jacobi,24,24,,1,7,0,1,0,0,3348.9935983414034,1,6,0.0011059393609418322,0.0011059393609418322,0,1,1,1,1,0,1,0,0
Boxed,Jacobi,48,48,,1,7,0,1,0,0,12191.962785094916,1,9,0.0077614694624585923,0.0077614694624585923,0,1,1,1,1,0,1,0,0
Boxed,NNCG,12,12,,1,11,0,1,0,0,1277.8303759985843,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,NNCG,24,24,,1,11,0,1,0,0,3363.8320066682745,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,NNCG,48,48,,1,11,0,1,0,0,13244.206302661263,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
